Iteration	Residual_2norm
349	1150.456547
350	1141.851334
351	1133.310583
352	1124.833813
353	1116.420546
354	1108.070305
355	1099.782620
356	1091.557021
357	1083.393045
358	1075.290230
359	1067.248119
360	1059.266256
361	1051.344193
362	1043.481480
363	1035.677674
364	1027.932333
365	1020.245021
366	1012.615303
367	1005.042748
368	997.526928
369	990.067418
370	982.663798
371	975.315648
372	968.022554
373	960.784103
374	953.599887
375	946.469500
376	939.392538
377	932.368602
378	925.397295
379	918.478223
380	911.610995
381	904.795223
382	898.030522
383	891.316510
384	884.652806
385	878.039035
386	871.474823
387	864.959799
388	858.493595
389	852.075844
390	845.706186
391	839.384258
392	833.109705
393	826.882172
394	820.701306
395	814.566758
396	808.478182
397	802.435233
398	796.437570
399	790.484853
400	784.576747
401	778.712918
402	772.893033
403	767.116764
404	761.383784
405	755.693770
406	750.046399
407	744.441352
408	738.878313
409	733.356967
410	727.877002
411	722.438108
412	717.039977
413	711.682305
414	706.364788
415	701.087126
416	695.849020
417	690.650175
418	685.490295
419	680.369090
420	675.286270
421	670.241548
422	665.234638
423	660.265257
424	655.333124
425	650.437960
426	645.579489
427	640.757436
428	635.971527
429	631.221493
430	626.507065
431	621.827976
432	617.183961
433	612.574758
434	608.000106
435	603.459747
436	598.953424
437	594.480881
438	590.041866
439	585.636128
440	581.263417
441	576.923487
442	572.616092
443	568.340987
444	564.097932
445	559.886687
446	555.707012
447	551.558672
448	547.441432
449	543.355060
450	539.299323
451	535.273993
452	531.278841
453	527.313643
454	523.378173
455	519.472209
456	515.595529
457	511.747916
458	507.929150
459	504.139016
460	500.377299
461	496.643787
462	492.938268
463	489.260533
464	485.610374
465	481.987584
466	478.391957
467	474.823292
468	471.281385
469	467.766036
470	464.277047
471	460.814220
472	457.377359
473	453.966269
474	450.580758
475	447.220634
476	443.885707
477	440.575787
478	437.290689
479	434.030225
480	430.794212
481	427.582466
482	424.394805
483	421.231049
484	418.091019
485	414.974538
486	411.881428
487	408.811516
488	405.764626
489	402.740587
490	399.739227
491	396.760377
492	393.803868
493	390.869533
494	387.957205
495	385.066720
496	382.197914
497	379.350625
498	376.524691
499	373.719952
500	370.936251
501	368.173429
502	365.431329
503	362.709797
504	360.008679
505	357.327821
506	354.667073
507	352.026282
508	349.405300
509	346.803979
510	344.222170
511	341.659728
512	339.116509
513	336.592367
514	334.087160
515	331.600746
516	329.132984
517	326.683735
518	324.252860
519	321.840221
520	319.445682
521	317.069107
522	314.710362
523	312.369312
524	310.045826
525	307.739772
526	305.451019
527	303.179438
528	300.924899
529	298.687276
530	296.466442
531	294.262271
532	292.074637
533	289.903418
534	287.748491
535	285.609732
536	283.487021
537	281.380239
538	279.289264
539	277.213980
540	275.154269
541	273.110014
542	271.081098
543	269.067408
544	267.068829
545	265.085249
546	263.116553
547	261.162633
548	259.223375
549	257.298671
550	255.388412
551	253.492489
552	251.610796
553	249.743225
554	247.889670
555	246.050027
556	244.224192
557	242.412061
558	240.613531
559	238.828500
560	237.056869
561	235.298535
562	233.553399
563	231.821364
564	230.102329
565	228.396199
566	226.702876
567	225.022265
568	223.354270
569	221.698797
570	220.055751
571	218.425041
572	216.806573
573	215.200256
574	213.605999
575	212.023712
576	210.453304
577	208.894687
578	207.347773
579	205.812473
580	204.288702
581	202.776372
582	201.275398
583	199.785695
584	198.307178
585	196.839764
586	195.383370
587	193.937912
588	192.503310
589	191.079481
590	189.666345
591	188.263823
592	186.871834
593	185.490300
594	184.119142
595	182.758282
596	181.407645
597	180.067152
598	178.736728
599	177.416298
600	176.105787
601	174.805120
602	173.514224
603	172.233026
604	170.961453
605	169.699432
606	168.446894
607	167.203765
608	165.969977
609	164.745458
610	163.530141
611	162.323955
612	161.126832
613	159.938705
614	158.759506
615	157.589169
616	156.427626
617	155.274813
618	154.130664
619	152.995113
620	151.868097
621	150.749552
622	149.639414
623	148.537620
624	147.444108
625	146.358816
626	145.281683
627	144.212647
628	143.151647
629	142.098624
630	141.053518
631	140.016269
632	138.986819
633	137.965110
634	136.951083
635	135.944680
636	134.945846
637	133.954523
638	132.970655
639	131.994187
640	131.025062
641	130.063226
642	129.108625
643	128.161204
644	127.220909
645	126.287688
646	125.361486
647	124.442253
648	123.529935
649	122.624481
650	121.725840
651	120.833960
652	119.948791
653	119.070283
654	118.198386
655	117.333050
656	116.474227
657	115.621867
658	114.775923
659	113.936346
660	113.103089
661	112.276104
662	111.455345
663	110.640765
664	109.832317
665	109.029957
666	108.233637
667	107.443314
668	106.658943
669	105.880478
670	105.107876
671	104.341093
672	103.580085
673	102.824809
674	102.075222
675	101.331283
676	100.592948
677	99.860175
678	99.132924
679	98.411152
680	97.694819
681	96.983884
682	96.278308
683	95.578048
684	94.883067
685	94.193325
686	93.508782
687	92.829399
688	92.155139
689	91.485962
690	90.821831
691	90.162708
692	89.508556
693	88.859337
694	88.215015
695	87.575553
696	86.940914
697	86.311063
698	85.685964
699	85.065582
700	84.449881
701	83.838825
702	83.232382
703	82.630515
704	82.033192
705	81.440377
706	80.852038
707	80.268141
708	79.688652
709	79.113539
710	78.542769
711	77.976310
712	77.414129
713	76.856195
714	76.302476
715	75.752940
716	75.207556
717	74.666294
718	74.129122
719	73.596010
720	73.066927
721	72.541844
722	72.020730
723	71.503557
724	70.990294
725	70.480913
726	69.975384
727	69.473679
728	68.975769
729	68.481626
730	67.991222
731	67.504529
732	67.021519
733	66.542164
734	66.066439
735	65.594314
736	65.125765
737	64.660763
738	64.199283
739	63.741298
740	63.286782
741	62.835709
742	62.388054
743	61.943791
744	61.502895
745	61.065341
746	60.631103
747	60.200158
748	59.772480
749	59.348046
750	58.926830
751	58.508810
752	58.093961
753	57.682259
754	57.273682
755	56.868205
756	56.465807
757	56.066463
758	55.670152
759	55.276849
760	54.886534
761	54.499184
762	54.114777
763	53.733291
764	53.354703
765	52.978994
766	52.606140
767	52.236121
768	51.868916
769	51.504504
770	51.142863
771	50.783974
772	50.427816
773	50.074369
774	49.723611
775	49.375525
776	49.030088
777	48.687283
778	48.347088
779	48.009485
780	47.674455
781	47.341978
782	47.012036
783	46.684609
784	46.359678
785	46.037226
786	45.717233
787	45.399682
788	45.084555
789	44.771832
790	44.461497
791	44.153531
792	43.847918
793	43.544639
794	43.243677
795	42.945015
796	42.648636
797	42.354523
798	42.062658
799	41.773026
800	41.485610
801	41.200393
802	40.917358
803	40.636491
804	40.357773
805	40.081191
806	39.806727
807	39.534365
808	39.264092
809	38.995890
810	38.729744
811	38.465639
812	38.203561
813	37.943493
814	37.685421
815	37.429330
816	37.175206
817	36.923033
818	36.672797
819	36.424485
820	36.178081
821	35.933571
822	35.690942
823	35.450179
824	35.211268
825	34.974196
826	34.738949
827	34.505514
828	34.273876
829	34.044023
830	33.815942
831	33.589619
832	33.365041
833	33.142195
834	32.921068
835	32.701648
836	32.483922
837	32.267877
838	32.053501
839	31.840781
840	31.629705
841	31.420261
842	31.212437
843	31.006220
844	30.801599
845	30.598562
846	30.397097
847	30.197193
848	29.998837
849	29.802018
850	29.606725
851	29.412947
852	29.220672
853	29.029889
854	28.840586
855	28.652754
856	28.466381
857	28.281455
858	28.097967
859	27.915906
860	27.735261
861	27.556021
862	27.378176
863	27.201716
864	27.026630
865	26.852909
866	26.680541
867	26.509517
868	26.339827
869	26.171460
870	26.004408
871	25.838660
872	25.674206
873	25.511038
874	25.349144
875	25.188516
876	25.029145
877	24.871020
878	24.714134
879	24.558475
880	24.404036
881	24.250807
882	24.098778
883	23.947942
884	23.798289
885	23.649811
886	23.502498
887	23.356342
888	23.211334
889	23.067466
890	22.924729
891	22.783114
892	22.642613
893	22.503219
894	22.364922
895	22.227714
896	22.091588
897	21.956534
898	21.822546
899	21.689615
900	21.557732
901	21.426891
902	21.297084
903	21.168301
904	21.040537
905	20.913783
906	20.788032
907	20.663276
908	20.539508
909	20.416719
910	20.294904
911	20.174054
912	20.054162
913	19.935221
914	19.817224
915	19.700164
916	19.584033
917	19.468824
918	19.354532
919	19.241148
920	19.128665
921	19.017078
922	18.906379
923	18.796561
924	18.687618
925	18.579543
926	18.472329
927	18.365971
928	18.260461
929	18.155793
930	18.051961
931	17.948957
932	17.846777
933	17.745414
934	17.644860
935	17.545112
936	17.446161
937	17.348002
938	17.250629
939	17.154036
940	17.058217
941	16.963166
942	16.868877
943	16.775344
944	16.682562
945	16.590525
946	16.499226
947	16.408661
948	16.318823
949	16.229707
950	16.141308
951	16.053620
952	15.966637
953	15.880354
954	15.794766
955	15.709867
956	15.625652
957	15.542115
958	15.459251
959	15.377056
960	15.295523
961	15.214648
962	15.134425
963	15.054850
964	14.975918
965	14.897622
966	14.819960
967	14.742924
968	14.666511
969	14.590716
970	14.515533
971	14.440959
972	14.366987
973	14.293615
974	14.220835
975	14.148645
976	14.077039
977	14.006014
978	13.935563
979	13.865683
980	13.796368
981	13.727616
982	13.659421
983	13.591778
984	13.524684
985	13.458133
986	13.392123
987	13.326647
988	13.261702
989	13.197285
990	13.133390
991	13.070013
992	13.007150
993	12.944797
994	12.882950
995	12.821605
996	12.760758
997	12.700405
998	12.640541
999	12.581164
1000	12.522268
1001	12.463850
1002	12.405906
1003	12.348432
1004	12.291425
1005	12.234880
1006	12.178794
1007	12.123164
1008	12.067984
1009	12.013252
1010	11.958964
1011	11.905116
1012	11.851705
1013	11.798727
1014	11.746179
1015	11.694057
1016	11.642357
1017	11.591075
1018	11.540210
1019	11.489756
1020	11.439711
1021	11.390071
1022	11.340833
1023	11.291994
1024	11.243549
1025	11.195497
1026	11.147833
1027	11.100554
1028	11.053657
1029	11.007139
1030	10.960997
1031	10.915227
1032	10.869827
1033	10.824793
1034	10.780122
1035	10.735811
1036	10.691857
1037	10.648257
1038	10.605008
1039	10.562107
1040	10.519551
1041	10.477337
1042	10.435462
1043	10.393923
1044	10.352718
1045	10.311843
1046	10.271295
1047	10.231073
1048	10.191173
1049	10.151592
1050	10.112327
1051	10.073376
1052	10.034737
1053	9.996405
1054	9.958380
1055	9.920657
1056	9.883235
1057	9.846110
1058	9.809281
1059	9.772744
1060	9.736497
1061	9.700538
1062	9.664864
1063	9.629473
1064	9.594361
1065	9.559527
1066	9.524968
1067	9.490682
1068	9.456666
1069	9.422918
1070	9.389435
1071	9.356216
1072	9.323257
1073	9.290557
1074	9.258114
1075	9.225924
1076	9.193986
1077	9.162298
1078	9.130856
1079	9.099660
1080	9.068707
1081	9.037994
1082	9.007520
1083	8.977282
1084	8.947278
1085	8.917507
1086	8.887966
1087	8.858652
1088	8.829565
1089	8.800701
1090	8.772060
1091	8.743638
1092	8.715435
1093	8.687447
1094	8.659673
1095	8.632111
1096	8.604759
1097	8.577616
1098	8.550679
1099	8.523946
1100	8.497416
1101	8.471087
1102	8.444956
1103	8.419023
1104	8.393285
1105	8.367740
1106	8.342387
1107	8.317225
1108	8.292250
1109	8.267462
1110	8.242859
1111	8.218439
1112	8.194200
1113	8.170141
1114	8.146260
1115	8.122556
1116	8.099026
1117	8.075670
1118	8.052485
1119	8.029471
1120	8.006625
1121	7.983946
1122	7.961432
1123	7.939082
1124	7.916895
1125	7.894868
1126	7.873001
1127	7.851292
1128	7.829739
1129	7.808341
1130	7.787097
1131	7.766004
1132	7.745063
1133	7.724270
1134	7.703626
1135	7.683128
1136	7.662776
1137	7.642567
1138	7.622501
1139	7.602576
1140	7.582791
1141	7.563144
1142	7.543635
1143	7.524262
1144	7.505023
1145	7.485918
